Nombre de lapin moyen apres 20 ans ; 2.11153e+10 ; 21.1153

Mois ; Nombre de lapins moyens
131 ; 30
132 ; 9
133 ; 7
134 ; 7
135 ; 6
136 ; 5
137 ; 4
138 ; 4
139 ; 3
140 ; 3
141 ; 3
142 ; 2
143 ; 2
144 ; 0
145 ; 0
146 ; 0
147 ; 0
148 ; 0
149 ; 0
150 ; 0
151 ; 0
152 ; 0
153 ; 0
154 ; 0
155 ; 0
156 ; 0
157 ; 0
158 ; 0
159 ; 0
160 ; 0
161 ; 0
162 ; 0
163 ; 0
164 ; 0
165 ; 0
166 ; 0
167 ; 0
168 ; 0
169 ; 0
170 ; 0
171 ; 0
172 ; 0
173 ; 0
174 ; 0
175 ; 0
176 ; 0
177 ; 0
178 ; 0
179 ; 0
180 ; 0
181 ; 0
182 ; 0
183 ; 0
184 ; 0
185 ; 0
186 ; 0
187 ; 0
188 ; 0
189 ; 0
190 ; 0
191 ; 0
192 ; 0
193 ; 0
194 ; 0
195 ; 0
196 ; 0
197 ; 0
198 ; 0
199 ; 0
200 ; 0
201 ; 0
202 ; 0
203 ; 0
204 ; 0
205 ; 0
206 ; 0
207 ; 0
208 ; 0
209 ; 0
210 ; 0
211 ; 0
212 ; 0
213 ; 0
214 ; 0
215 ; 0
216 ; 0
217 ; 0
218 ; 0
219 ; 0
220 ; 0
221 ; 0
222 ; 0
223 ; 0
224 ; 0
225 ; 0
226 ; 0
227 ; 0
228 ; 0
229 ; 0
230 ; 0
231 ; 0
232 ; 0
233 ; 0
234 ; 0
235 ; 0
236 ; 0
237 ; 0
238 ; 0
239 ; 0
